country,population,low_carbon_share_elec,fossil_share_elec,renewables_share_elec,nuclear_share_elec,fossil_cons_per_capita,per_capita_electricity,acceso_elec
Qatar,2509666.6666666665,0.3211111111111111,99.67888888888889,0.3211111111111111,0.0,15168.512999999999,15217.057999999999,76.55909
Romania,19886555.555555556,55.973299999999995,44.0267,37.3332,18.6402,1371.9526,3123.5714,100.0
Russia,144898110.2222222,35.581399999999995,64.4186,18.0368,17.5446,4542.1381,7052.3774,70.36894
Rwanda,11409666.666666666,48.70088888888889,51.29911111111111,48.70088888888889,0.0,23.834777777777777,47.77788888888889,100.0
Saint Helena,5777.777777777777,0.0,100.0,0.0,0.0,1402.469111111111,1402.469111111111,100.0
Saint Kitts and Nevis,51111.11111111111,3.7568888888888887,96.2431111111111,3.7568888888888887,0.0,3791.3483333333334,3939.4604444444444,26.200886
Saint Lucia,179333.33333333334,0.31066666666666665,99.68933333333332,0.31066666666666665,0.0,2043.4184444444445,2049.849888888889,100.0
Saint Pierre and Miquelon,6000.0,1.4925555555555556,98.50744444444445,1.4925555555555556,0.0,7549.382888888888,7660.49388888889,100.0
Saint Vincent and the Grenadines,109222.22222222222,15.373555555555555,84.62644444444445,15.373555555555555,0.0,1071.0506666666668,1265.2025555555556,100.0
Samoa,192888.88888888888,30.846555555555558,69.15344444444445,30.846555555555558,0.0,438.7328888888889,635.3448888888888,73.34648
Sao Tome and Principe,199555.55555555556,8.924333333333333,91.07566666666668,8.924333333333333,0.0,342.4487777777778,375.6591111111111,49.73087
Saudi Arabia,31514000.0,0.02722222222222222,99.97277777777778,0.02722222222222222,0.0,10045.644222222221,10048.505777777777,84.38554
Senegal,14614888.888888888,11.075222222222223,88.92477777777778,11.075222222222223,0.0,233.30022222222226,262.38222222222225,100.0
Serbia,8873000.0,28.7959,71.2041,28.7959,0.0,2917.9487,4096.7842,7.2413383
Seychelles,94888.88888888889,1.0203333333333333,98.97966666666667,1.0203333333333333,0.0,4326.803888888889,4372.333111111111,100.0
Sierra Leone,7178777.777777778,68.674,31.325999999999997,68.674,0.0,8.909666666666666,28.39288888888889,100.0
Singapore,5569888.888888889,3.1572,96.8428,3.1572,0.0,8227.319099999999,8495.860400000001,55.3897
Slovakia,5434555.555555556,78.1533,21.8467,22.743000000000002,55.410199999999996,1110.2078,5073.1888,98.20477
Slovenia,2068555.5555555555,67.6322,32.3678,30.9135,36.718599999999995,2505.8460999999998,7762.003599999999,100.0
Solomon Islands,604111.1111111111,5.444222222222222,94.55577777777778,5.444222222222222,0.0,149.98166666666668,158.63822222222223,100.0
Somalia,13844666.666666666,2.6202222222222225,97.37977777777778,2.6202222222222225,0.0,23.690555555555555,24.311444444444444,89.14032
South Korea,50677777.777777776,30.937400000000004,69.0626,3.2709,27.6663,7121.353,10310.2702,99.7793
South Sudan,10594777.777777778,0.486375,99.513625,0.486375,0.0,40.196222222222225,40.393,39.9
Spain,46804333.333333336,57.3116,42.6884,36.3737,20.938,2533.4610000000002,5918.8524,100.0
Sri Lanka,20888111.111111112,42.333222222222226,57.666777777777774,42.333222222222226,0.0,361.8781111111111,626.4334444444444,53.997433
Sudan,38974777.777777776,68.51866666666666,31.481333333333332,68.51866666666666,0.0,105.50133333333332,322.1691111111111,100.0
Suriname,558666.6666666666,44.77577777777778,55.224222222222224,44.77577777777778,0.0,1888.589888888889,3406.3565555555556,100.0
Sweden,9759333.333333334,97.6304,2.3696,58.5124,39.1182,387.71569999999997,16394.5112,100.0
Switzerland,8275555.555555556,98.8813,1.1187,62.507600000000004,36.3737,87.1785,7826.6629,100.0
Syria,18487111.111111112,7.188999999999999,92.81099999999999,7.188999999999999,0.0,1104.6375555555555,1195.311777777778,100.0
Taiwan,23542222.222222224,18.5083,81.49170000000001,4.8332,13.6751,8539.8051,10471.4403,99.4
Tajikistan,8478444.444444444,96.8246,3.1754,96.8246,0.0,66.3515,2066.4397,42.074417
Tanzania,51631222.222222224,35.84166666666667,64.15833333333333,35.84166666666667,0.0,77.73266666666667,121.03822222222223,100.0
Thailand,68654222.22222222,12.583499999999999,87.4165,12.583499999999999,0.0,2124.0724,2434.5672,100.0
Togo,7329444.444444444,39.50544444444445,60.49455555555556,39.50544444444445,0.0,29.300555555555555,40.815,100.0
Tonga,102333.33333333333,0.0,100.0,0.0,0.0,500.497,500.497,100.0
Trinidad and Tobago,1368222.2222222222,0.05122222222222222,99.94877777777778,0.05122222222222222,0.0,6534.323444444444,6537.649,100.0
Tunisia,11198000.0,2.9312,97.0688,2.9312,0.0,1566.8494,1614.7745,100.0
Turkey,78499000.0,32.464999999999996,67.535,32.464999999999996,0.0,2187.1802,3253.3111,67.33327
Turkmenistan,5561333.333333333,0.01411111111111111,99.9858888888889,0.01411111111111111,0.0,3502.2929999999997,3502.783111111111,100.0
Turks and Caicos Islands,35888.88888888889,0.0,100.0,0.0,0.0,5810.810222222222,5810.810222222222,100.0
Uganda,38520333.333333336,89.3971111111111,10.60288888888889,89.3971111111111,0.0,9.043666666666667,90.967,73.75793
Ukraine,44870777.777777776,57.1829,42.817099999999996,6.9941,50.188900000000004,1547.8595,3578.1654000000003,44.524475
United Arab Emirates,9334888.888888888,0.642888888888889,99.35711111111111,0.642888888888889,0.0,12176.820444444445,12261.303555555556,52.74767
