,Unnamed: 0,country,gdp,fossil_share_energy,renewables_share_energy,low_carbon_share_energy,nuclear_share_energy,population,energy_per_capita,primary_energy_consumption
999,11796,Oman,53275885568.0,100.0,0.0,0.0,0.0,2386000.0,59756.953,142.58
1000,11797,Oman,66722304000.0,100.0,0.0,0.0,0.0,2446000.0,54146.679,132.443
1001,11798,Oman,73114116096.0,100.0,0.0,0.0,0.0,2511000.0,63451.439,159.327
1002,11799,Oman,97566883840.0,100.0,0.0,0.0,0.0,2581000.0,67441.436,174.066
1003,11800,Oman,109000000000.0,100.0,0.0,0.0,0.0,2657000.0,65316.124,173.545
1004,11801,Oman,131000000000.0,100.0,0.0,0.0,0.0,2751000.0,74075.833,203.783
1005,11802,Oman,112000000000.0,100.0,0.0,0.0,0.0,2876000.0,70987.832,204.161
1006,11803,Oman,125000000000.0,100.0,0.0,0.0,0.0,3041000.0,78880.424,239.875
1007,11804,Oman,140000000000.0,100.0,0.0,0.0,0.0,3251000.0,80606.8,262.053
1008,11805,Oman,154000000000.0,100.0,0.0,0.0,0.0,3498000.0,81442.269,284.885
1009,11806,Oman,160000000000.0,99.999,0.001,0.001,0.0,3765000.0,84552.107,318.339
1010,11807,Oman,156000000000.0,99.999,0.001,0.001,0.0,4027000.0,78699.333,316.922
1011,11808,Oman,163000000000.0,99.997,0.003,0.003,0.0,4267000.0,78464.9,334.81
1012,11809,Oman,168000000000.0,99.997,0.003,0.003,0.0,4479000.0,75031.772,336.067
1013,11810,Oman,,99.998,0.002,0.002,0.0,4666000.0,79943.989,373.019
1014,11811,Oman,,99.998,0.002,0.002,0.0,4829000.0,85503.513,412.896
1015,11812,Oman,,99.998,0.002,0.002,0.0,4975000.0,84532.482,420.549
1016,12298,Pakistan,383000000000.0,88.759,10.694,11.241,0.547,142344000.0,3373.289,480.167
1017,12299,Pakistan,389000000000.0,88.066,10.763,11.934,1.172,145978000.0,3366.211,491.393
1018,12300,Pakistan,409000000000.0,87.486,11.495,12.514,1.019,149550000.0,3409.92,509.953
1019,12301,Pakistan,428000000000.0,86.471,12.593,13.529,0.936,153092992.0,3622.94,554.647
1020,12302,Pakistan,464000000000.0,86.977,11.965,13.023,1.059,156664992.0,3941.457,617.488
1021,12303,Pakistan,516000000000.0,86.046,12.889,13.954,1.065,160304000.0,3996.833,640.708
1022,12304,Pakistan,567000000000.0,87.035,11.963,12.965,1.002,164023008.0,4120.859,675.916
1023,12305,Pakistan,602000000000.0,87.437,11.707,12.563,0.857,167808000.0,4283.397,718.788
1024,12306,Pakistan,647000000000.0,89.383,9.979,10.617,0.638,171648992.0,4213.413,723.228
1025,12307,Pakistan,683000000000.0,88.793,10.296,11.207,0.911,175526000.0,4173.606,732.576
1026,12308,Pakistan,735000000000.0,88.528,10.571,11.472,0.901,179424992.0,4099.672,735.584
1027,12309,Pakistan,807000000000.0,87.812,10.798,12.188,1.39,183340000.0,4008.38,734.896
1028,12310,Pakistan,838000000000.0,94.919,4.061,5.081,1.02,187280000.0,3661.881,685.797
1029,12311,Pakistan,872000000000.0,81.687,16.054,18.313,2.259,191260992.0,4185.638,800.549
1030,12312,Pakistan,923000000000.0,87.558,11.003,12.442,1.439,195304992.0,3944.827,770.444
1031,12313,Pakistan,971000000000.0,87.877,10.744,12.123,1.379,199427008.0,4070.761,811.82
1032,12314,Pakistan,1020000000000.0,87.825,10.64,12.175,1.535,203631008.0,4347.326,885.25
1033,12315,Pakistan,,88.656,9.241,11.344,2.103,207906000.0,4503.049,936.211
1034,12316,Pakistan,,88.662,8.817,11.338,2.521,212228000.0,4551.648,965.987
1035,12317,Pakistan,,86.979,10.638,13.021,2.383,216564992.0,4566.901,989.031
1036,12318,Pakistan,,,,,,,,
1037,12562,Peru,123000000000.0,68.877,31.123,31.123,0.0,26460000.0,5509.837,145.79
