,country,gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,population
1226,Bahamas,,,,,325000.0
1227,Bahamas,,,,,331000.0
1228,Bahamas,,,,,337000.0
1229,Bahamas,,,,,344000.0
1230,Bahamas,,,,,350000.0
1231,Bahamas,,,,,355000.0
1232,Bahamas,,,,,360000.0
1233,Bahamas,,,,,364000.0
1234,Bahamas,,,,,367000.0
1235,Bahamas,,,,,371000.0
1236,Bahamas,,,,,374000.0
1237,Bahamas,,,,,378000.0
1238,Bahamas,,,,,382000.0
1239,Bahamas,,,,,386000.0
1240,Bahamas,,,,,389000.0
1341,Bahrain,18.573453312,,,,665000.0
1342,Bahrain,18.176229376,,,,698000.0
1343,Bahrain,17.574588416,,,,735000.0
1344,Bahrain,21.589673984,,,,779000.0
1345,Bahrain,24.214464512,,,,830000.0
1346,Bahrain,32.081874944,,,,889000.0
1347,Bahrain,36.24230912,,,,958000.0
1348,Bahrain,40.256888832,,,,1036000.0
1349,Bahrain,52.838674432,,,,1115000.0
1350,Bahrain,43.643830272,,,,1185000.0
1351,Bahrain,47.179927552,,,,1241000.0
1352,Bahrain,47.938297856,,,,1278000.0
1353,Bahrain,54.356865024,,,,1300000.0
1354,Bahrain,53.839859712,,,,1315000.0
1355,Bahrain,52.947091456,,,,1336000.0
1356,Bahrain,54.483828736,,,,1372000.0
1357,Bahrain,56.079929344,,,,1426000.0
1358,Bahrain,,,,,1494000.0
1359,Bahrain,,,,,1569000.0
1360,Bahrain,,,,,1641000.0
1461,Bangladesh,185.0,98.47,1.53,0.0,127658000.0
1462,Bangladesh,190.0,98.237,1.763,0.0,130089000.0
1463,Bangladesh,201.0,98.719,1.281,0.0,132478000.0
1464,Bangladesh,208.0,98.798,1.202,0.0,134792000.0
1465,Bangladesh,212.0,98.844,1.156,0.0,136986000.0
1466,Bangladesh,224.0,98.933,1.067,0.0,139036000.0
1467,Bangladesh,244.0,99.016,0.984,0.0,140920992.0
1468,Bangladesh,270.0,99.041,0.959,0.0,142660000.0
1469,Bangladesh,301.0,98.851,1.149,0.0,144304000.0
1470,Bangladesh,326.0,99.519,0.481,0.0,145924992.0
1471,Bangladesh,373.0,99.187,0.813,0.0,147575008.0
1472,Bangladesh,432.0,99.106,0.894,0.0,149272992.0
1473,Bangladesh,425.0,99.225,0.775,0.0,151006000.0
1474,Bangladesh,446.0,99.26,0.74,0.0,152760992.0
1475,Bangladesh,466.0,99.395,0.605,0.0,154516992.0
1476,Bangladesh,498.0,99.238,0.762,0.0,156256000.0
1477,Bangladesh,533.0,99.252,0.748,0.0,157976992.0
1478,Bangladesh,,99.149,0.851,0.0,159684992.0
1479,Bangladesh,,99.29,0.71,0.0,161376992.0
1480,Bangladesh,,99.363,0.637,0.0,163046000.0
1481,Bangladesh,,,,,
1502,Barbados,5.645221888,,,,272000.0
1503,Barbados,5.089149952,,,,272000.0
1504,Barbados,4.776456192,,,,273000.0
1505,Barbados,4.74907392,,,,274000.0
1506,Barbados,4.915979776,,,,275000.0
1507,Barbados,4.778480128,,,,276000.0
1508,Barbados,4.642400768,,,,277000.0
1509,Barbados,5.12393984,,,,279000.0
1510,Barbados,4.771380224,,,,280000.0
1511,Barbados,4.493024768,,,,281000.0
1512,Barbados,4.133272064,,,,282000.0
1513,Barbados,3.406690048,,,,283000.0
1514,Barbados,3.0168,,,,284000.0
1515,Barbados,2.76775296,,,,284000.0
1516,Barbados,2.891879936,,,,285000.0
1517,Barbados,2.918729984,,,,285000.0
1518,Barbados,2.956559872,,,,286000.0
1519,Barbados,,,,,286000.0
1520,Barbados,,,,,287000.0
1521,Barbados,,,,,287000.0
1542,Belarus,86.161956864,99.971,0.029,0.0,9872000.0
1543,Belarus,83.450003456,99.967,0.033,0.0,9811000.0
1544,Belarus,85.045567488,99.969,0.031,0.0,9746000.0
1545,Belarus,89.551101952,99.97,0.03,0.0,9679000.0
1546,Belarus,96.19456,99.968,0.032,0.0,9617000.0
1547,Belarus,101.0,99.965,0.035,0.0,9562000.0
1548,Belarus,113.0,99.967,0.033,0.0,9517000.0
1549,Belarus,124.0,99.955,0.045,0.0,9481000.0
1550,Belarus,144.0,99.909,0.064,0.0,9453000.0
1551,Belarus,141.0,99.819,0.098,0.0,9433000.0
1552,Belarus,155.0,99.759,0.112,0.0,9421000.0
1553,Belarus,173.0,99.773,0.121,0.0,9415000.0
1554,Belarus,179.0,99.759,0.137,0.0,9417000.0
1555,Belarus,188.0,99.703,0.204,0.0,9424000.0
1556,Belarus,193.0,99.722,0.181,0.0,9432000.0
1557,Belarus,185.0,99.679,0.238,0.0,9439000.0
1558,Belarus,180.0,99.609,0.315,0.0,9446000.0
1559,Belarus,,99.287,0.638,0.0,9450000.0
1560,Belarus,,99.37,0.555,0.0,9453000.0
1561,Belarus,,99.365,0.56,0.0,9452000.0
1562,Belarus,,,,,
1663,Belgium,343.0,81.83,0.386,17.785,10282000.0
1664,Belgium,343.0,82.457,0.398,17.145,10319000.0
1665,Belgium,358.0,82.103,0.42,17.477,10365000.0
1666,Belgium,356.0,82.839,0.421,16.74,10419000.0
1667,Belgium,361.0,82.923,0.524,16.554,10480000.0
1668,Belgium,370.0,82.519,0.741,16.74,10547000.0
1669,Belgium,370.0,82.702,1.03,16.269,10619000.0
1670,Belgium,382.0,82.185,1.201,16.614,10698000.0
1671,Belgium,392.0,83.176,1.487,15.337,10779000.0
1672,Belgium,402.0,80.936,2.157,16.907,10860000.0
1673,Belgium,420.0,81.271,2.705,16.024,10939000.0
1674,Belgium,419.0,79.257,3.553,17.19,11014000.0
1675,Belgium,430.0,80.71,4.438,14.852,11085000.0
1676,Belgium,438.0,80.037,4.732,15.232,11154000.0
1677,Belgium,437.0,81.761,5.397,12.841,11221000.0
1678,Belgium,443.0,84.388,5.865,9.747,11288000.0
1679,Belgium,448.0,79.361,5.642,14.997,11354000.0
1680,Belgium,,79.578,6.121,14.301,11420000.0
1681,Belgium,,83.427,6.689,9.884,11482000.0
1682,Belgium,,78.684,6.937,14.379,11539000.0
1683,Belgium,,,,,
1704,Belize,,,,,247000.0
1705,Belize,,,,,255000.0
1706,Belize,,,,,262000.0
1707,Belize,,,,,269000.0
1708,Belize,,,,,277000.0
1709,Belize,,,,,284000.0
1710,Belize,,,,,291000.0
1711,Belize,,,,,299000.0
1712,Belize,,,,,307000.0
1713,Belize,,,,,315000.0
1714,Belize,,,,,322000.0
1715,Belize,,,,,330000.0
1716,Belize,,,,,338000.0
1717,Belize,,,,,346000.0
1718,Belize,,,,,353000.0
