country,population,low_carbon_share_elec,fossil_share_elec,renewables_share_elec,nuclear_share_elec,fossil_cons_per_capita,per_capita_electricity,continente,iso_code,fossil_percentage,nuclear_percentage,renewables_percentage
Morocco,34.644888888888886,15.340222222222224,84.65977777777778,15.340222222222224,0.0,697.6771111111111,827.1425555555556,África,MAR,0.6412978040531405,0.0,0.2406165951265081
Mozambique,27.142333333333333,90.12611111111111,9.87388888888889,90.12611111111111,0.0,59.98044444444444,620.1696666666667,África,MOZ,0.07479470686221497,0.0,1.4136586597900953
Namibia,2.319777777777778,97.59633333333333,2.4036666666666666,97.59633333333333,0.0,15.070222222222222,618.6383333333333,África,NAM,0.018207774641875833,0.0,1.53083163224845
Nauru,0.010333333333333333,0.0,100.0,0.0,0.0,2721.8855555555556,2721.8855555555556,Oceanía,NRU,0.7574999851009222,0.0,0.0
Nepal,27.385444444444445,99.90511111111111,0.0948888888888889,99.90511111111111,0.0,0.12400000000000001,149.52766666666668,Asia,NPL,0.000718783319195764,0.0,1.5670455957585667
Netherlands,16.929333333333332,18.0553,81.9447,14.669599999999999,3.3857,5422.162200000001,6631.9520999999995,Europa,NLD,0.6207310902909954,0.4680903430814505,0.2300976578262694
New Caledonia,0.27055555555555555,15.024333333333333,84.97566666666665,15.024333333333333,0.0,8474.586888888889,9927.835444444445,Oceanía,NCL,0.6436906623394092,0.0,0.23566177062777083
New Zealand,4.608444444444444,79.998,20.002000000000002,79.998,0.0,1858.2076000000002,9257.996799999999,Oceanía,NZL,0.15151514701988647,0.0,1.2547957974849964
Nicaragua,6.223888888888889,52.80433333333333,47.19566666666666,52.80433333333333,0.0,320.2838888888889,682.2217777777778,Norteamérica,NIC,0.35750716796828086,0.0,0.8282539007933144
Niger,20.089,1.463,98.53699999999999,1.463,0.0,22.702333333333332,23.062555555555555,África,NER,0.7464177603188956,0.0,0.022947651837802813
