,country,gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,energy_per_capita
1756,Benin,18.295693312,,,,1853.021
1757,Benin,19.378673664,,,,1840.451
1758,Benin,21.256812544,,,,1912.781
1759,Benin,22.371309568,,,,2079.207
1760,Benin,23.265005568,,,,2128.549
1761,Benin,,,,,
1762,Benin,,,,,
1763,Benin,,,,,
1784,Bermuda,,,,,37147.995
1785,Bermuda,,,,,37679.144
1786,Bermuda,,,,,39051.376
1787,Bermuda,,,,,38962.611
1788,Bermuda,,,,,40344.116
1789,Bermuda,,,,,42483.276
1790,Bermuda,,,,,47981.264
1791,Bermuda,,,,,55728.826
1792,Bermuda,,,,,53311.164
1793,Bermuda,,,,,41947.983
1794,Bermuda,,,,,50150.927
1795,Bermuda,,,,,32410.949
1796,Bermuda,,,,,35052.509
1797,Bermuda,,,,,35759.788
1798,Bermuda,,,,,46312.188
1799,Bermuda,,,,,38943.933
1800,Bermuda,,,,,50229.446
1801,Bermuda,,,,,
1802,Bermuda,,,,,
1803,Bermuda,,,,,
1824,Bhutan,,,,,10296.888
1825,Bhutan,,,,,10681.613
1826,Bhutan,,,,,11785.861
1827,Bhutan,,,,,12985.047
1828,Bhutan,,,,,11799.938
1829,Bhutan,,,,,13441.382
1830,Bhutan,,,,,21454.456
1831,Bhutan,,,,,29559.35
1832,Bhutan,,,,,31214.906
1833,Bhutan,,,,,31444.109
1834,Bhutan,,,,,33091.053
1835,Bhutan,,,,,31754.885
1836,Bhutan,,,,,30952.62
1837,Bhutan,,,,,33450.261
1838,Bhutan,,,,,31512.385
1839,Bhutan,,,,,33456.441
1840,Bhutan,,,,,33586.22
1841,Bhutan,,,,,
1842,Bhutan,,,,,
1843,Bhutan,,,,,
1944,Bolivia,24.453879808,,,,5147.586
1945,Bolivia,25.577918464,,,,4305.691
1946,Bolivia,26.975635456,,,,4623.534
1947,Bolivia,28.345468928,,,,6119.649
1948,Bolivia,30.184128512,,,,6239.658
1949,Bolivia,32.590215168,,,,6007.822
1950,Bolivia,34.446999552,,,,6503.713
1951,Bolivia,36.591730688,,,,6871.343
1952,Bolivia,41.33230592,,,,6936.628
1953,Bolivia,43.342348288,,,,6729.47
1954,Bolivia,47.795335168,,,,6728.254
1955,Bolivia,53.944389632,,,,6586.994
1956,Bolivia,57.0889216,,,,8024.79
1957,Bolivia,60.91440128,,,,8036.692
1958,Bolivia,61.48970496,,,,7999.507
1959,Bolivia,64.471166976,,,,7684.553
1960,Bolivia,67.114459136,,,,8243.057
1961,Bolivia,,,,,
1962,Bolivia,,,,,
1963,Bolivia,,,,,
1964,Bolivia,,,,,
1973,Bosnia and Herzegovina,22.914473984,,,,18273.859
1974,Bosnia and Herzegovina,23.051558912,,,,18122.826
1975,Bosnia and Herzegovina,24.114681856,,,,18326.86
1976,Bosnia and Herzegovina,23.691220992,,,,15983.116
1977,Bosnia and Herzegovina,23.10269952,,,,16807.365
1978,Bosnia and Herzegovina,25.861679104,,,,15618.33
1979,Bosnia and Herzegovina,28.102733824,,,,16224.597
1980,Bosnia and Herzegovina,30.910529536,,,,15276.153
1981,Bosnia and Herzegovina,32.805036032,,,,17526.101
1982,Bosnia and Herzegovina,34.366640128,,,,20864.085
1983,Bosnia and Herzegovina,34.4370176,,,,22948.314
1984,Bosnia and Herzegovina,35.664781312,,,,22347.642
1985,Bosnia and Herzegovina,37.336076288,,,,20670.871
1986,Bosnia and Herzegovina,38.494396416,,,,22851.026
1987,Bosnia and Herzegovina,39.634432,,,,22933.725
1988,Bosnia and Herzegovina,40.84901888,,,,23000.156
1989,Bosnia and Herzegovina,41.870385152,,,,24397.519
1990,Bosnia and Herzegovina,,,,,
1991,Bosnia and Herzegovina,,,,,
1992,Bosnia and Herzegovina,,,,,
1993,Bosnia and Herzegovina,,,,,
2094,Botswana,15.763874816,,,,8148.495
2095,Botswana,15.779424256,,,,8314.226
2096,Botswana,18.706720768,,,,8435.112
2097,Botswana,18.380249088,,,,8342.524
2098,Botswana,19.293714432,,,,8176.035
2099,Botswana,21.960869888,,,,8608.352
2100,Botswana,22.822098944,,,,8659.973
2101,Botswana,23.521949696,,,,8567.972
2102,Botswana,23.539697664,,,,8672.216
2103,Botswana,21.862223872,,,,7901.829
2104,Botswana,24.107864064,,,,6935.537
2105,Botswana,26.899136512,,,,6839.982
2106,Botswana,27.16782592,,,,6536.302
2107,Botswana,27.42544384,,,,7950.328
2108,Botswana,31.4688,,,,8466.34
2109,Botswana,31.387396096,,,,9979.413
2110,Botswana,32.74771456,,,,9749.645
2111,Botswana,,,,,
2112,Botswana,,,,,
2113,Botswana,,,,,
