,country,gdp,low_carbon_share_energy,population,energy_per_capita
1502,Barbados,5.645221888,,272000.0,25630.862
1503,Barbados,5.089149952,,272000.0,25646.14
1504,Barbados,4.776456192,,273000.0,25724.167
1505,Barbados,4.74907392,,274000.0,25903.597
1506,Barbados,4.915979776,,275000.0,26001.755
1507,Barbados,4.778480128,,276000.0,26107.969
1508,Barbados,4.642400768,,277000.0,26072.782
1509,Barbados,5.12393984,,279000.0,24697.428
1510,Barbados,4.771380224,,280000.0,29017.296
1511,Barbados,4.493024768,,281000.0,27250.16
1512,Barbados,4.133272064,,282000.0,26169.532
1513,Barbados,3.406690048,,283000.0,27368.33
1514,Barbados,3.0168,,284000.0,25632.641
1515,Barbados,2.76775296,,284000.0,26030.926
1516,Barbados,2.891879936,,285000.0,22560.38
1517,Barbados,2.918729984,,285000.0,24005.514
1518,Barbados,2.956559872,,286000.0,25106.714
1519,Barbados,,,286000.0,
1520,Barbados,,,287000.0,
1521,Barbados,,,287000.0,
1542,Belarus,86.161956864,0.029,9872000.0,25871.043
1543,Belarus,83.450003456,0.033,9811000.0,25376.272
1544,Belarus,85.045567488,0.031,9746000.0,26305.842
1545,Belarus,89.551101952,0.03,9679000.0,26369.604
1546,Belarus,96.19456,0.032,9617000.0,29892.685
1547,Belarus,101.0,0.035,9562000.0,29957.262
1548,Belarus,113.0,0.033,9517000.0,31971.222
1549,Belarus,124.0,0.045,9481000.0,31338.928
1550,Belarus,144.0,0.064,9453000.0,31802.352
1551,Belarus,141.0,0.098,9433000.0,30213.447
1552,Belarus,155.0,0.112,9421000.0,32120.941
1553,Belarus,173.0,0.121,9415000.0,31960.388
1554,Belarus,179.0,0.137,9417000.0,34527.105
1555,Belarus,188.0,0.204,9424000.0,30426.109
1556,Belarus,193.0,0.181,9432000.0,31386.394
1557,Belarus,185.0,0.238,9439000.0,28498.766
1558,Belarus,180.0,0.315,9446000.0,28325.44
1559,Belarus,,0.638,9450000.0,28892.766
1560,Belarus,,0.555,9453000.0,30806.835
1561,Belarus,,0.56,9452000.0,31081.284
1562,Belarus,,,,
1663,Belgium,343.0,18.17,10282000.0,73153.564
1664,Belgium,343.0,17.543,10319000.0,72299.813
1665,Belgium,358.0,17.897,10365000.0,71684.098
1666,Belgium,356.0,17.161,10419000.0,74007.258
1667,Belgium,361.0,17.077,10480000.0,73825.921
1668,Belgium,370.0,17.481,10547000.0,72511.815
1669,Belgium,370.0,17.298,10619000.0,72171.31
1670,Belgium,382.0,17.815,10698000.0,72073.038
1671,Belgium,392.0,16.824,10779000.0,72761.131
1672,Belgium,402.0,19.064,10860000.0,67471.579
1673,Belgium,420.0,18.729,10939000.0,71317.805
